排名,代號,名稱,成交,漲跌價,漲跌幅,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,ROA(%),ROA增減,ROE(%),ROE增減,EPS(元),EPS增減(元),財報評分
200,6218,豪勉,22.45,+0.2,+0.9,2018,12.7,+0.22,5.04,+11,1.09,+50.1,39.6,+3.84,8.6,+2.86,6.57,+1.81,10.4,+3.33,1.7,+0.57,51
201,1530,亞崴,28.1,+0.05,+0.2,2018,48.7,+15.1,8.93,+3.58,3.33,+89,18.3,-2.04,6.84,+2.76,4.33,+1.87,11,+5,3.45,+1.62,43
202,2849,安泰銀,14.05,+0.05,+0.4,2018,64.1,+0.78,無資訊,無資訊,22.1,+5.23,無資訊,無資訊,34.5,+1.46,0.71,+0.03,6.78,+0.05,1.26,+0.02,47
203,2227,裕日車,249.5,-1,-0.4,2018,313,-5.91,53.3,-13.9,58.9,-11.3,17,-1.57,18.8,-1.15,22.7,-1.22,28.3,-2.79,19.63,-2.51,59
204,1527,鑽全,56.5,-0.8,-1.4,2018,37.3,-2.68,11.2,+0.37,10.3,+406,29.9,+0.91,27.6,+22.3,7.17,+5.8,30.3,+24.2,7.48,+6,62
205,6560,欣普羅,42.4,+0.65,+1.6,2018,4.25,+157,1.4,+91,0.62,+614,32.8,-11.3,14.5,+21.7,15.6,+19,19.6,+24,3.55,+4.25,68
206,2850,新產,37.5,+0.2,+0.5,2018,147,+5.67,51.7,+17.1,17.7,+29.7,35,+3.41,12,+2.22,5.44,+1.13,17.4,+2.46,5.6,+1.28,59
207,8497,格威傳媒,49.65,0,0,2018,29.9,+27.1,9.05,+54.2,1.67,+80,30.2,+5.32,7.65,+3.18,14.8,+6.86,25.4,+12.5,5.16,+2.07,55
208,8415,大國鋼,34.05,-0.15,-0.4,2018,167,+48,48.7,+18,11.9,+70.4,29.1,-7.41,7.11,+0.93,5.43,+0.5,8.89,-1.1,1.64,+0.43,47
209,8401,白紗科,12,+0.1,+0.8,2018,14.6,+1.67,3.36,-8.74,0.6,-34.6,23.1,-2.64,4.15,-2.3,3.92,-2.14,6.38,-3.8,0.97,-0.57,45
210,3702,大聯大,38.4,+0.2,+0.5,2018,"5,451",+2.37,236,+6.68,74.6,+2.11,4.33,+0.18,1.38,0,4.01,-0.11,14.1,-0.33,4.22,+0.12,26
211,4433,興采,37.6,-1.4,-3.6,2018,16,+6.73,3.36,+7.76,0.63,+526,21,+0.2,3.88,+3.23,3.78,+3.14,7.11,+5.96,2.1,+1.76,43
212,1712,興農,18.6,+0.05,+0.3,2018,181,+4.92,49.1,+4.05,7.27,+25.8,27,-0.22,4.05,+0.69,4.86,+1.11,10.7,+1.43,1.74,+0.24,43
213,6202,盛群,67.4,+0.2,+0.3,2018,48.6,+5.37,23.9,+10.7,10.6,+14.9,49.2,+2.39,22,+1.73,19.6,+1.77,25.7,+2.56,4.7,+0.6,77
214,1609,大亞,10.05,-0.05,-0.5,2018,186,+11,12.8,-17.4,4.71,+0.81,6.89,-2.37,3.08,-0.59,2.94,-0.45,7.15,-0.85,0.83,0,38
215,4560,強信-KY,50,+0.3,+0.6,2018,18.2,+32.1,7.46,+32.5,3.13,+54.1,41,+0.12,17.2,+2.46,14.3,+3.35,20.1,+4.51,4.76,+1.51,66
216,6208,日揚,24.5,-0.1,-0.4,2018,22.4,+32.4,7.19,+31.2,2.09,+15.4,32.1,-0.28,9.53,-1.16,8,-0.13,11.4,+0.73,2.11,+0.28,51
217,6582,申豐,51.8,-0.2,-0.4,2018,36.9,+24.1,8.11,+19.4,4.27,+23.7,22,-0.87,11.6,-0.04,11.8,+1.22,13.3,+0.81,4.08,+0.62,62
218,3546,宇峻,62,+0.2,+0.3,2018,11.3,+14.6,9.96,+12,1.91,+11.8,87.9,-2.03,16.8,-0.43,13.6,+0.39,17,+0.67,4.62,+0.01,70
219,4989,榮科,23.1,+0.15,+0.7,2018,32.1,-15,4.58,-48,2.77,-53.8,14.3,-9.07,8.62,-7.26,10.4,-14.7,12.4,-20,1.88,-2.4,57
220,8383,千附,36.1,-0.15,-0.4,2018,34,+6.44,7.12,-26.7,3.03,-36.1,20.9,-9.46,8.91,-5.93,5.92,-3.97,8.9,-5.32,2.57,-1.45,45
221,2204,中華,24.55,+0.5,+2.1,2018,349,-10.4,61.9,-5.07,35.9,-12.5,17.8,+0.99,11.2,-0.51,6.08,-1.14,7.06,-1.41,2.64,-0.37,55
222,2034,允強,26,-0.2,-0.8,2018,191,-0.71,20.2,+1.26,9.1,+11.5,10.6,+0.21,4.76,+0.52,7.69,+0.76,11.8,+0.93,2.23,+0.23,40
223,6593,台灣銘板,26,+0.05,+0.2,2018,7.56,-3.63,1.84,+5.18,0.54,+27.1,24.3,+2.04,7.14,+1.73,6.51,+1.52,10.8,+1.1,2.76,+0.41,53
224,6168,宏齊,14.45,-0.1,-0.7,2018,29.2,-2.98,5.65,-14.8,2.36,+4.13,19.3,-2.67,7.99,+0.21,6.01,0,8.33,-0.62,1.15,+0.03,49
225,3556,禾瑞亞,47.7,-0.3,-0.6,2018,10.8,-6.17,5.97,-5.08,1.98,-5.33,55.4,+0.64,18.1,-0.28,13.5,-0.71,16.5,-1.09,3.32,-0.19,72
226,4973,廣穎,17.35,-0.15,-0.9,2018,45,+4.87,5.56,+15.2,0.85,+397,12.4,+1.11,1.89,+1.49,3.33,+2.65,5.45,+4.38,1.34,+1.07,47
227,4305,世坤,37.6,-0.1,-0.3,2018,11.4,-4.03,2.74,+1.11,1.75,+27.4,24.1,+1.23,15.3,+3.78,14.6,+2.94,17.2,+3.38,3.18,+0.69,68
228,3323,加百裕,29.8,-0.1,-0.3,2018,93.8,+24.5,8.93,+19.8,2.07,+6.44,9.52,-0.38,2.2,-0.38,3.85,-0.45,8.8,+0.32,2.39,+0.15,25
229,3550,聯穎,14.5,-0.05,-0.3,2018,41,+8.13,7.64,+2.44,1.17,-6.08,18.6,-1.04,2.99,-0.44,3.22,-0.28,6.03,-0.15,1.37,-0.09,45
230,3501,維熹,50.8,+0.1,+0.2,2018,55.2,+10.7,15.2,+0.41,7.08,+34.2,27.5,-2.83,12.8,+2.24,8.54,+1.71,12.4,+2.95,5.99,+1.53,60
231,2471,資通,17.45,+0.15,+0.9,2018,6.74,-0.39,2.49,+10.7,0.57,+77.5,37,+3.7,8.49,+3.84,5.17,+2.29,7.92,+3.54,1.21,+0.52,55
232,8054,安國,14.55,-0.05,-0.3,2018,17.4,-10.5,6.78,-8.11,0.81,+3.32,38.9,+1,6.16,+1.61,4.06,+0.71,4.55,+0.7,1.1,+0.03,60
233,2423,固緯,26.2,+0.35,+1.4,2018,25.8,+11.7,13,+13.6,3.44,+20.9,50.4,+0.86,13.3,+1.02,10.9,+1.58,15.1,+2.2,2.37,+0.41,62
234,6214,精誠,72.9,+0.4,+0.6,2018,195,+15.7,50.3,+11,10.5,-10.7,25.8,-1.07,5.38,-1.57,5.34,-0.76,8.23,-1.12,4.27,-0.52,49
235,2324,仁寶,17.5,-0.05,-0.3,2018,"9,677",+9.02,306,-4.37,89.1,+55,3.16,-0.44,0.99,+0.3,2.51,+0.78,8.65,+3.07,2.05,+0.73,36
236,2414,精技,21.15,0,0,2018,171,+1.8,15.4,-2,2.55,-0.96,9,-0.35,1.52,-0.12,4.4,-0.19,8.5,-0.59,1.58,-0.01,30
237,4938,和碩,51.1,-0.2,-0.4,2018,"13,400",+12.2,408,-12.6,111,-24.3,3.04,-0.87,0.83,-0.51,2.07,-1.36,6.07,-2.78,4.25,-1.41,34
238,3209,全科,17.55,-0.05,-0.3,2018,318,+0.48,14.5,+12.2,2.11,-25.2,4.57,+0.48,0.68,-0.22,1.93,-0.64,8.09,-3.69,1.25,-0.69,26
239,6216,居易,29.2,+0.1,+0.3,2018,9.86,+0.47,4.95,-2.7,1.88,-2.95,50.2,-1.64,19,-0.67,11.2,-0.15,12.9,-0.76,2.28,-0.1,77
240,6457,紘康,27,0,0,2018,5.95,-3.1,2.49,-2.57,0.45,-3.49,41.8,+0.23,7.41,-0.13,7.37,-0.42,9.04,-0.48,1.58,-0.08,57
241,8069,元太,30.8,-3.2,-9.4,2018,142,-6.54,59.3,-5.64,26.1,+25.8,41.7,+0.4,19,+5.25,7.4,+1.39,9.69,+2.03,2.32,+0.47,66
242,6261,久元,44.3,+0.05,+0.1,2018,34.9,-4.9,9.23,-7.45,4.61,-10.7,26.4,-0.73,12.6,-0.66,5.68,-0.56,7.26,-0.91,3.58,-0.43,62
243,2404,漢唐,148.5,0,0,2018,181,+44.7,31.8,+42.5,21.5,+76.8,17.6,-0.28,12.6,+1.83,12.2,+4.17,32.3,+12,9.42,+4.32,55
244,3040,遠見,29.7,-0.1,-0.3,2018,1.9,+0.62,1.14,-4.32,0.82,-88.2,60.1,-3.1,43.5,-326,4.57,-33.1,4.98,-35.5,1.31,-9.75,72
245,8109,博大,81.7,-0.6,-0.7,2018,13.2,+15,6.68,+11.4,4.61,+59.5,50.5,-1.6,34.9,+9.73,16,+5.02,32,+9.62,7.01,+2.6,85
246,2838,聯邦銀,10.4,0,0,2018,127,+2.09,無資訊,無資訊,29.6,+7.71,無資訊,無資訊,23.2,+1.03,0.49,-0.02,6.02,-0.54,1.07,+0.02,44
247,3679,新至陞,44.6,+0.3,+0.7,2018,42.2,+4.96,7.98,-19.7,2.42,-44.5,18.9,-5.82,5.73,-5.11,3.17,-2.49,5.78,-3.67,3.35,-2.15,45
248,3515,華擎,59.5,-0.5,-0.8,2018,102,+10.7,22.7,+15.8,5.93,+26.4,22.2,+0.99,5.82,+1.01,6.47,+1.28,10,+2.23,4.91,+0.89,49
249,6206,飛捷,74.4,+0.4,+0.5,2018,65.7,+0.07,19.3,-0.92,8.01,+8.54,29.3,-0.29,12.1,+0.92,13.4,+1.43,17.2,+1.61,5.6,+0.54,68
250,1599,宏佳騰,44.7,+0.5,+1.1,2018,26,+6.95,6.38,+7.71,2.15,+46,24.6,+0.17,8.28,+2.21,10,+2.8,14.7,+4.17,3.59,+1.19,62
251,3296,勝德,14.9,-0.05,-0.3,2018,31.4,+9.87,4.75,+1.4,0.99,+4093,15.1,-1.26,3.16,+3.07,4.2,+4.11,6.3,+6.15,1.01,+0.99,45
252,4974,亞泰,46.2,+0.35,+0.8,2018,36.7,+0.59,5.09,-8.95,3.38,+12.3,13.8,-1.45,9.19,+0.96,10.6,+0.82,14.8,-0.49,4.66,+0.41,52
253,1817,凱撒衛,34.3,-0.15,-0.4,2018,22.9,+1.02,7.52,-0.63,2.54,-2.17,32.8,-0.54,11.1,-0.36,11.6,-1.08,15.4,-0.92,3.5,-0.08,57
254,6506,雙邦,17.9,-0.05,-0.3,2018,21.8,+1.18,3.26,-10,1.06,-12.2,15,-1.86,4.66,-1.07,4.97,-0.88,8.22,-2.05,1.32,-0.22,43
255,2484,希華,21.65,-0.1,-0.5,2018,26.9,-17.4,5.77,+6,2.6,+55.4,21.4,+4.73,9.66,+4.39,6.31,+2.14,8.68,+2.83,1.63,+0.58,55
256,8416,實威,112,-0.5,-0.4,2018,11.9,+19.7,6.48,+14.7,2.73,+18.8,54.4,-2.39,23,-0.18,22.2,+1.57,28.6,+1.95,9.69,+0.72,79
257,1409,新纖,12.7,+0.05,+0.4,2018,417,+15.6,63.4,+37.1,24.6,+155,15.2,+2.38,6.86,+3.73,1.99,+1.17,7.91,+4.64,1.52,+0.92,40
258,8074,鉅橡,18.55,+0.1,+0.5,2018,14.1,+10.6,2.83,-18.8,1.06,-28.3,20.1,-7.27,7.38,-4.1,3.9,-2.18,7.03,-3.14,1.3,-0.54,49
259,2617,台航,19.45,-0.3,-1.5,2018,33.7,+19.5,8.62,+88.6,9.58,+105,25.6,+9.38,28.4,+11.9,6.27,+3.09,9.59,+4.75,2.29,+1.17,61
260,2488,漢平,37.45,-0.25,-0.7,2018,26.3,+23,6.14,+12.8,2.92,+53.8,23.3,-2.12,11.2,+2.15,8.77,+3.19,15,+5.1,3.65,+1.28,60
261,1102,亞泥,41.95,-0.1,-0.2,2018,827,+27.5,212,+108,111,+103,25.6,+9.92,18,+7.72,5.66,+2.91,9.77,+5.11,3.54,+1.8,51
262,3285,微端,18,0,0,2018,12.4,+10.3,2.72,+25.9,0.76,+236,21.9,+2.71,6.33,+4.3,7.71,+5.43,12.8,+9.09,1.75,+1.24,55
263,6257,矽格,30.9,+0.25,+0.8,2018,95.4,+39.7,26.6,+41.7,11.6,+16.8,27.8,+0.4,14.1,-3.34,7.07,-0.36,12.1,-0.82,3.01,+0.25,64
264,6494,九齊,33,+0.7,+2.2,2018,9.7,-3.72,3.69,-9.78,0.77,-26,38,-2.55,7.93,-2.39,10.2,-5.89,13.6,-8.43,2.65,-1.27,55
265,6530,創威,15,+0.05,+0.3,2018,2.83,-20.6,0.88,-15.7,0.23,-15,31.1,+1.79,8.21,+0.54,4.57,-0.93,5.29,-1.26,0.69,-0.22,55
266,2480,敦陽科,51.4,-0.4,-0.8,2018,46.5,+10.6,13.8,+23.8,4.04,+32.2,29.7,+3.16,8.7,+1.42,8.72,+1.92,15.6,+4.05,3.8,+1.24,51
267,3213,茂訊,42.15,+0.35,+0.8,2018,24.2,-5.02,4.92,-24,1.82,-45,20.3,-5.07,7.35,-5.52,9.09,-8.17,12.4,-11.1,3.1,-2.54,53
268,6227,茂綸,22.6,0,0,2018,85.6,+37.3,7.73,+43.9,2.07,+40.7,9.03,+0.41,2.42,+0.06,4.86,+0.95,13.3,+3.27,2.73,+0.79,20
269,3015,全漢,18.85,+0.05,+0.3,2018,145,+0.74,14.6,-3.6,0.78,-75.3,10,-0.45,0.63,-1.59,0.66,-1.59,1.1,-2.72,0.4,-1.24,38
270,5209,新鼎,41.9,-0.25,-0.6,2018,14.1,+5.22,1.88,-8.61,0.76,+0.46,13.4,-2.02,5.42,-0.26,5.39,-0.44,14.1,-0.21,3.25,+0.02,43
271,6670,復盛應用,166,+1,+0.6,2018,160,+13.3,39.4,+22.2,20.1,+45,24.6,+1.79,13.1,+3.34,21.7,+6.13,46.4,-11.3,16.85,+5.17,64
272,6577,勁豐,68,0,0,2018,18.9,+2.98,5,+7.55,1.86,+23.6,26.4,+1.12,9.85,+1.64,12.9,+0.74,18.3,+0.05,4.87,+0.87,55
273,3088,艾訊,56.7,-0.1,-0.2,2018,50.1,+25.4,16.7,+22.5,4.07,-56.1,33.2,-0.8,8.12,-15.1,10.3,-15.8,17.2,-27.5,5.12,-6.59,57
274,6435,大中,107,-1.5,-1.4,2018,25.1,+31,5.66,+61.9,3.22,+106,22.5,+4.3,12.8,+4.68,25.5,+10.5,41.4,+17.7,9.75,+5.02,62
275,1537,廣隆,151.5,+0.5,+0.3,2018,84.9,+9.22,18.3,+4.32,9.83,+9.06,21.6,-1.01,11.6,-0.08,17.8,+0.24,26.1,+1.31,12.03,+0.99,60
276,8422,可寧衛,151.5,-0.5,-0.3,2018,34,+21.9,21.5,+8.18,13.2,-3.15,63.2,-8.03,38.9,-10.1,20.5,-2.14,24.1,-1.33,12.13,-0.39,89
277,4722,國精化,27.3,0,0,2018,47.5,-4.07,7.05,-8.59,2.54,-14,14.8,-0.73,5.35,-0.62,7.09,-1.25,10.6,-2.13,2.54,-0.56,43
278,4568,科際精密,68,0,0,2018,12.2,+2.05,4.43,-3.78,1.6,-3.08,36.2,-2.2,13.1,-0.7,10.7,-1.08,17.5,-3.76,5.79,-0.34,64
279,3114,好德,34.5,-0.35,-1,2018,35,+58.2,3.82,+38.6,1.65,+130,10.9,-1.55,4.7,+1.47,7.5,+3.02,17.8,+9.14,3.16,+1.73,43
280,3071,協禧,18.3,+0.3,+1.7,2018,25.4,+11.8,6.47,+2.21,1.93,+18.9,25.5,-2.4,7.63,+0.46,7.49,+0.89,13.2,+2.07,1.61,+0.41,51
281,4138,曜亞,48.05,0,0,2018,11.6,+0.71,3.36,-9.32,1.05,-7.17,28.9,-3.19,10.5,-1.89,5.65,-0.61,8.6,-1.53,3.5,-0.27,60
282,1595,川寶,38.15,-0.2,-0.5,2018,17.6,+28.2,5.32,+23.1,1.97,-33.8,30.3,-1.26,11.2,-10.5,5.24,-4.2,8.18,-6,4.18,-2.94,55
283,6263,普萊德,65.7,+1.3,+2,2018,13.7,+0.47,5.33,+2.03,3.01,-1.74,39,+0.6,22,-0.5,19.3,-0.96,23.4,-1.33,4.82,-0.08,80
284,2409,友達,7.64,-0.23,-2.9,2018,"3,076",-9.79,281,-53.9,102,-68.6,9.15,-8.75,2.59,-6.29,1.87,-5.08,3.6,-10.6,1.06,-2.3,47
285,8410,森田,26.8,+0.5,+1.9,2018,10.1,-1.98,3.34,-11.4,1.03,+2.17,33,-3.5,10.2,+0.41,5.96,0,7.42,-0.07,2.82,+0.06,61
286,1464,得力,23,-0.15,-0.6,2018,91.3,+15.1,14.6,-1.94,2.02,-45.4,16,-2.79,2.78,-2.45,1.66,-1.65,4.68,-3.17,0.61,-0.6,36
287,6210,慶生,39.9,+0.85,+2.2,2018,7.36,-13.1,2.08,-34.1,0.9,-38.4,28.2,-9.01,12.2,-5.03,8.55,-5.41,11,-7.35,2.57,-1.59,59
288,4207,環泰,10.75,-0.15,-1.4,2018,37.7,+12.3,4.44,-34,1.24,-38.1,11.8,-8.25,4,-3.79,3.2,-2.68,5.74,-4.67,0.75,-0.48,40
289,2834,臺企銀,12.3,0,0,2018,230,+10.4,無資訊,無資訊,76.4,+51.6,無資訊,無資訊,33.2,+9.02,0.48,+0.15,9.51,+2.64,1.19,+0.37,50
290,5439,高技,43.1,-0.1,-0.2,2018,23,+10.7,4.78,+26.4,2.93,+51,20.8,+2.59,12.8,+3.41,12.9,+3.61,18.1,+4.51,3.41,+1.09,60
291,6486,互動,74.3,+0.7,+1,2018,17.3,-3.8,7.1,+3.69,1.98,+18.9,41.1,+2.97,11.5,+2.19,9.57,+0.96,19.4,+3.36,4.71,+1.1,55
292,6184,大豐電,38.7,+0.3,+0.8,2018,19.7,+5.39,8.31,+1.17,3.52,+0.34,42.1,-1.76,18,-1.21,3.62,-0.35,7.9,+0.33,2.37,0,60
293,1402,遠東新,27.9,-0.3,-1.1,2018,"2,287",+4.96,444,-10.7,120,+49.1,19.4,-3.4,8.04,+1.52,3.4,+0.64,7.03,+1.44,2.41,+0.8,40
294,6154,順發,15.5,+0.05,+0.3,2018,40.9,-7.59,6.09,-8.58,0.58,-34.6,14.9,-0.16,1.42,-0.59,3.35,-1.51,4.59,-2.38,0.73,-0.38,47
295,6174,安碁,15.5,-0.25,-1.6,2018,5.53,-0.78,1.72,+1.24,0.53,+112,31.1,+0.62,9.6,+5.11,7.41,+4.09,9.17,+4.83,1.06,+0.56,59
296,6197,佳必琪,31,-0.25,-0.8,2018,34.9,-15.7,6.43,-12.5,2.78,-1.55,18.4,+0.68,7.96,+1.14,6.24,+0.3,8.96,+0.76,2.18,+0.36,49
297,6128,上福,31.05,+0.05,+0.2,2018,67.9,+303,22,+204,0.41,-90.9,32.3,-10.5,0.61,-26.5,0.69,-9.54,1.54,-23,0.36,-4.86,47
298,2483,百容,20,-0.1,-0.5,2018,20.4,+13.6,4.56,-14.5,1.66,+2.86,22.4,-7.36,7.89,-1.21,4.12,-0.56,6.59,-0.1,1.5,+0.04,49
299,1442,名軒,15.55,+0.05,+0.3,2018,9.45,-67.8,2.76,-64.5,1.21,-78.5,29.2,+2.66,12.8,-6.36,1.15,-3.82,2.22,-8.07,0.4,-1.62,40
300,5425,台半,46.65,+0.35,+0.8,2018,96.1,+6.85,35.3,+6.6,8.12,-6.43,36.7,-0.09,13,-1.02,9.78,-1.31,17.6,-0.94,3.53,-0.24,57
